Player,HOFm,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Bob Lilly\LillBo00,159.20,1,7,11,14,1961,1974,111,196,196,1,17,1,17,,,,,,,
Alan Page\PageAl00,157.10,0,6,9,15,1967,1981,142,218,215,2,42,1,27,,,,,,,
Randy White\WhitRa00,142.18,1,7,9,11,1975,1988,118,209,165,1,0,0,0,,52.0,,,,,
Joe Greene\GreeJo02,136.53,4,4,10,12,1969,1981,107,181,172,1,26,0,26,,,,,,,
John Randle\RandJo00,135.60,0,6,7,12,1990,2003,106,219,185,1,1,0,1,6,137.5,556,471,85,40,
Warren Sapp\SappWa00,128.40,1,4,7,13,1995,2007,117,198,188,4,8,1,5,21,96.5,578,440,138,91,22
Aaron Donald\DonaAa00,127.63,0,6,7,7,2014,2020,99,110,106,0,0,0,0,12,85.5,357,247,110,131,201
Merlin Olsen\OlseMe00,115.90,0,5,14,15,1962,1976,115,208,208,1,20,1,20,,,,,,,
Average HOF DT,114,1,5,8,12,,,107,190,175,2,22,0,15,,,,,,,
Cortez Kennedy\KennCo00,103.93,0,3,8,9,1990,2000,99,167,153,3,26,0,14,15,58.0,669,569,100,15,
Kevin Williams\WillKe98,103.28,0,5,6,12,2003,2015,99,203,193,5,82,2,54,73,63.0,528,370,158,113,90
Henry Jordan\JordHe00,100.08,5,5,4,10,1957,1969,93,163,131,1,0,0,0,,,,,,,
Ndamukong Suh\SuhxNd99,79.98,1,3,5,11,2010,2020,93,174,174,1,20,0,20,38,64.5,563,373,190,123,199
Alex Karras\KarrAl00,76.20,0,3,4,12,1958,1970,95,161,156,4,57,0,28,,,,,,,
Geno Atkins\AtkiGe99,75.85,0,2,8,9,2010,2020,89,161,134,0,0,0,0,6,75.5,384,228,156,100,172
Fletcher Cox\CoxxFl00,71.98,1,1,6,9,2012,2020,84,140,134,0,0,0,0,14,54.5,408,288,120,71,130
Tom Sestak\SestTo00,68.53,2,3,4,7,1962,1968,67,96,90,2,21,2,15,,,,,,,
