G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV,Player,Year
16,16,372,526,70.7,4299,48,9.1,5,1,78,8.2,9.6,11.6,268.7,121.5,20,182,7.54,8.89,3.7,1,2,18,Aaron Rodgers 2020,2020
15,15,265,401,66.1,3127,36,9,6,1.5,83,7.8,8.9,11.8,208.5,113.3,23,106,7.13,8.19,5.4,1,2,25,Lamar Jackson,2019
16,16,383,580,66,5097,50,8.6,12,2.1,89,8.8,9.6,13.3,318.6,113.8,26,171,8.13,8.89,4.3,2,2,22,Patrick Mahomes,2018
16,16,385,581,66.3,4577,32,5.5,8,1.4,64,7.9,8.4,11.9,286.1,102.8,35,201,7.1,7.56,5.7,2,2,19,Tom Brady 2017,2017
16,16,373,534,69.9,4944,38,7.1,7,1.3,76,9.3,10.1,13.3,309,117.1,37,235,8.25,9.03,6.5,1,2,21,Matt Ryan,2016
16,16,296,495,59.8,3837,35,7.1,10,2,74,7.8,8.3,13,239.8,99.4,33,284,6.73,7.2,6.3,3,4,20,Cam Newton,2015
16,16,341,520,65.6,4381,38,7.3,5,1,80,8.4,9.5,12.8,273.8,112.2,28,174,7.68,8.65,5.1,1,1,21,Aaron Rodgers 2014,2014
16,16,450,659,68.3,5477,55,8.3,10,1.5,78,8.3,9.3,12.2,342.3,115.1,18,120,7.91,8.87,2.7,2,2,19,Peyton Manning 2013,2013
15,15,343,502,68.3,4643,45,9,6,1.2,93,9.2,10.5,13.5,309.5,122.5,36,219,8.22,9.39,6.7,0,1,23,Aaron Rodgers 2011,2011
16,16,324,492,65.9,3900,36,7.3,4,0.8,79,7.9,9,12,243.8,111,25,175,7.21,8.25,4.8,2,3,18,Tom Brady 2010,2010
16,16,393,571,68.8,4500,33,5.8,16,2.8,80,7.9,7.8,11.5,281.3,99.9,10,74,7.62,7.51,1.7,7,7,17,Peyton Manning 2009,2009
16,16,371,555,66.8,4002,27,4.9,12,2.2,75,7.2,7.2,10.8,250.1,95,14,86,6.88,6.88,2.5,4,6,16,Peyton Manning 2008,2008
16,16,398,578,68.9,4806,50,8.7,8,1.4,69,8.3,9.4,12.1,300.4,117.2,21,128,7.81,8.88,3.5,4,4,24,Tom Brady 2007,2007
16,16,336,497,67.6,4557,49,9.9,10,2,80,9.2,10.2,13.6,284.8,121.1,13,101,8.74,9.78,2.5,2,4,21,Peyton Manning 2004,2004
14,14,250,400,62.5,3215,24,6,7,1.8,73,8,8.5,12.9,229.6,100.4,19,108,7.42,7.81,4.5,1,1,14,Steve McNair,2003
16,16,418,618,67.6,4689,26,4.2,10,1.6,75,7.6,7.7,11.2,293.1,97.3,36,214,6.84,6.95,5.5,1,1,18,Rich Gannon,2002
16,16,375,546,68.7,4830,36,6.6,22,4,65,8.8,8.4,12.9,301.9,101.4,38,233,7.87,7.41,6.5,1,2,20,Kurt Warner 2001,2001
16,16,325,499,65.1,4353,41,8.2,13,2.6,75,8.7,9.2,13.4,272.1,109.2,29,201,7.86,8.31,5.5,0,0,19,Kurt Warner 1999,1999
16,16,325,543,59.9,3899,39,7.2,13,2.4,80,7.2,7.5,12,243.7,95.8,40,241,6.27,6.61,6.9,1,1,17,Brett Favre 1996,1996
16,16,359,570,63,4413,38,6.7,13,2.3,99,7.7,8,12.3,275.8,99.5,33,217,6.96,7.25,5.5,0,1,18,Brett Favre 1995,1995
16,16,324,461,70.3,3969,35,7.6,10,2.2,69,8.6,9.2,12.3,248.1,112.8,31,163,7.74,8.24,6.3,1,1,23,Steve Young 1994,1994
16,16,268,402,66.7,3465,25,6.2,7,1.7,80,8.6,9.1,12.9,216.6,107,29,152,7.69,8.12,6.7,3,5,22,Steve Young 1992,1992
15,15,321,520,61.7,3944,26,5,16,3.1,78,7.6,7.2,12.3,262.9,89,29,153,6.91,6.54,5.3,3,5,14,Joe Montana 1990,1990
13,13,271,386,70.2,3521,26,6.7,8,2.1,95,9.1,9.5,13,270.8,112.4,33,198,7.93,8.31,7.9,4,5,17,Joe Montana 1989,1989
16,16,223,388,57.5,3572,28,7.2,14,3.6,86,9.2,9,16,223.3,97.4,30,245,7.96,7.79,7.2,3,4,19,Boomer Esiason,1988
12,12,224,410,54.6,3198,19,4.6,12,2.9,72,7.8,7.4,14.3,266.5,83.4,20,138,7.12,6.74,4.7,3,2,14,John Elway,1987
16,16,362,564,64.2,5084,48,8.5,17,3,80,9,9.4,14,317.8,108.9,13,120,8.6,8.94,2.3,2,3,21,Dan Marino,1984
16,16,276,459,60.1,3714,29,6.3,11,2.4,84,8.1,8.3,13.5,232.1,97,34,242,7.04,7.22,6.9,2,4,18,Joe Theismann,1983
16,16,300,479,62.6,3754,29,6.1,10,2.1,74,7.8,8.1,12.5,234.6,98.4,25,140,7.17,7.43,5,2,2,18,Ken Anderson,1981
16,16,337,554,60.8,4132,30,5.4,14,2.5,65,7.5,7.4,12.3,258.3,91.4,23,217,6.79,6.73,4,3,4,16,Brian Sipe,1980
16,16,207,368,56.3,2915,28,7.6,20,5.4,70,7.9,7,14.1,182.2,84.7,21,222,6.92,6.05,5.4,2,2,16,Terry Bradshaw,1978
